K,max suppression %,median auroc,median acc,median f1,solution set SA,suppression in %,solution set ARX,ARX suppression,ARX auroc,ARX accuracy,ARX f1
20,20,0.729,0.819,0.748,"sex', 'L3_age', 'L2_race', 'L4_education', 'L1_occupation', 'L2_workclass', 'L2_marital_status', 'L2_native_country'",0.18,"sex', 'L1_age', 'L1_race', 'L1_education', 'L1_occupation', 'L1_workclass', 'L1_marital_status', 'L1_native_country'",0.081,0.73,0.819,0.745
25,20,0.728,0.819,0.745,"sex', 'L4_age', 'L2_race', 'L2_education', 'L1_occupation', 'L3_workclass', 'L1_marital_status', 'L1_native_country'",0.19,"sex', 'L1_age', 'L1_race', 'L1_education', 'L1_occupation', 'L1_workclass', 'L1_marital_status', 'L1_native_country'",0.031,0.735,0.829,0.745
2,30,0.755,0.816,0.765,"sex', 'L7_age', 'L2_race', 'L3_education', 'L3_occupation', 'L2_workclass', 'L2_marital_status', 'L3_native_country'",0.3,"sex', 'L4_age', 'L1_race', 'L2_education', 'L1_occupation', 'L3_workclass', 'L1_marital_status', 'L1_native_country'",0.017,0.73,0.831,0.751
3,30,0.761,0.826,0.77,"sex', 'L6_age', 'L2_race', 'L3_education', 'L3_occupation', 'L3_workclass', 'L2_marital_status', 'L1_native_country'",0.18,"sex', 'L3_age', 'L1_race', 'L2_education', 'L1_occupation', 'L1_workclass', 'L1_marital_status', 'L1_native_country'",0.011,0.723,0.826,0.741
4,30,0.753,0.822,0.766,"sex', 'L5_age', 'L2_race', 'L4_education', 'L3_occupation', 'L2_workclass', 'L2_marital_status', 'L3_native_country'",0.28,"sex', 'L3_age', 'L1_race', 'L2_education', 'L1_occupation', 'L1_workclass', 'L1_marital_status', 'L1_native_country'",0.018,0.718,0.822,0.738
5,30,0.76,820,0.82,"sex', 'L6_age', 'L1_race', 'L1_education', 'L3_occupation', 'L3_workclass', 'L1_marital_status', 'L2_native_country'",0.29,"sex', 'L3_age', 'L1_race', 'L2_education', 'L1_occupation', 'L1_workclass', 'L1_marital_status', 'L1_native_country'",0.023,0.72,0.828,0.741
6,30,0.754,0.822,0.763,"sex', 'L5_age', 'L2_race', 'L5_education', 'L2_occupation', 'L1_workclass', 'L1_marital_status', 'L3_native_country'",0.3,"sex', 'L3_age', 'L1_race', 'L2_education', 'L1_occupation', 'L1_workclass', 'L1_marital_status', 'L1_native_country'",0.029,0.715,0.818,0.736
7,30,0.746,0.813,0.757,"sex', 'L5_age', 'L2_race', 'L1_education', 'L2_occupation', 'L2_workclass', 'L3_marital_status', 'L2_native_country'",0.26,"sex', 'L3_age', 'L1_race', 'L2_education', 'L1_occupation', 'L1_workclass', 'L1_marital_status', 'L1_native_country'",0.035,0.729,0.827,0.748
8,30,0.746,0.818,0.756,"sex', 'L6_age', 'L2_race', 'L1_education', 'L2_occupation', 'L3_workclass', 'L1_marital_status', 'L3_native_country'",0.28,"sex', 'L3_age', 'L1_race', 'L2_education', 'L1_occupation', 'L1_workclass', 'L1_marital_status', 'L1_native_country'",0.038,0.727,0.825,0.747
9,30,0.754,0.821,0.765,"sex', 'L5_age', 'L2_race', 'L1_education', 'L3_occupation', 'L1_workclass', 'L1_marital_status', 'L3_native_country'",0.27,"sex', 'L3_age', 'L1_race', 'L2_education', 'L1_occupation', 'L1_workclass', 'L1_marital_status', 'L1_native_country'",0.042,0.716,0.82,0.736
10,30,0.751,0.826,0.764,"sex', 'L5_age', 'L1_race', 'L3_education', 'L2_occupation', 'L3_workclass', 'L1_marital_status', 'L1_native_country'",0.27,"sex', 'L1_age', 'L1_race', 'L2_education', 'L1_occupation', 'L1_workclass', 'L1_marital_status', 'L1_native_country'",0.016,0.716,0.813,0.731
15,30,0.742,0.82,0.752,"sex', 'L3_age', 'L1_race', 'L4_education', 'L1_occupation', 'L2_workclass', 'L3_marital_status', 'L3_native_country'",0.2,"sex', 'L1_age', 'L1_race', 'L2_education', 'L1_occupation', 'L1_workclass', 'L1_marital_status', 'L1_native_country'",0.026,0.715,0.814,0.731
20,30,0.736,0.824,0.754,"sex', 'L4_age', 'L2_race', 'L5_education', 'L1_occupation', 'L1_workclass', 'L1_marital_status', 'L1_native_country'",0.25,"sex', 'L1_age', 'L1_race', 'L1_education', 'L1_occupation', 'L1_workclass', 'L1_marital_status', 'L1_native_country'",0.081,0.73,0.819,0.745
25,30,0.74,0.815,0.753,"sex', 'L3_age', 'L1_race', 'L1_education', 'L3_occupation', 'L3_workclass', 'L1_marital_status', 'L3_native_country'",0.29,"sex', 'L1_age', 'L1_race', 'L1_education', 'L1_occupation', 'L1_workclass', 'L1_marital_status', 'L1_native_country'",0.031,0.735,0.829,0.745
